PANGAEA ID,PANGAEA Name,PANGAEA Unit,SDN Unit URN,SDN Unit Name,SDN P01 ID,SDN P01 Name,SDN P01 URI,CF standard name,CF unit,EMODNET,EMODNET long name
122425,"Nitrous oxide, dissolved",µg/l,SDN:P06::UGPL,Micrograms per litre,SDN:P01::DN2OZZ01,"Concentration of nitrous oxide {N2O CAS 10024-97-2} per unit mass of the 
water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/DN2OZZ01,,ug l-1,,
161546,Nitrous oxide,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::DN2OZZ01,"Concentration of nitrous oxide {N2O CAS 10024-97-2} per unit mass of the 
water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/DN2OZZ01,,umol l-1,,
130838,Nitrous oxide,ppbv,SDN:P06::UBLV,Parts per billion by volume,SDN:P01::AN2OZZ01,"Concentration of nitrous oxide {N2O CAS 10024-97-2} per unit volume of the 
atmosphere [gaseous phase]",http://vocab.nerc.ac.uk/collection/P01/current/AN2OZZ01,,1.00E-09,,
758,Phosphate,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::PHOSZZXX,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX,mole_concentration_of_phosphate_in_sea_water,umol l-1,PHOS,Phosphate (PO4-P)
108236,Phosphate,mmol/l,SDN:P06::MMPL,Millimoles per litre,SDN:P01::PHOSZZXX,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX,mole_concentration_of_phosphate_in_sea_water,mmol l-1,PHOS,Phosphate (PO4-P)
75379,Phosphate,ug/l,SDN:P06::UGPL,Micrograms per litre,SDN:P01::PHOSZZXX,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX,,ug l-1,PHOS,Phosphate (PO4-P)
106233,Phosphate,mg/l,SDN:P06::UMGL,Milligrams per litre,SDN:P01::PHOSZZXX,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX,,mg l-1,PHOS,Phosphate (PO4-P)
102716,Phosphate,mg/kg,SDN:P06::UMKG,Milligrams per kilogram,SDN:P01::MDMAP906,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit mass of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP906,,mg kg-1,PHOS,Phosphate (PO4-P)
80107,Phosphate,umol/kg,SDN:P06::KGUM,Micromoles per kilogram,SDN:P01::MDMAP906,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit mass of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP906,mole_concentration_of_phosphate_in_sea_water,umol kg-1,PHOS,Phosphate (PO4-P)
755,Silicate,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::SLCAZZXX,"Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/SLCAZZXX,mole_concentration_of_silicate_in_sea_water,umol l-1,SLCA,Silicate (SIO4-SI)
132298,Silicate,mmol/l,SDN:P06::MMPL,Millimoles per litre,SDN:P01::SLCAZZXX,"Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/SLCAZZXX,mole_concentration_of_silicate_in_sea_water,mmol l-1,SLCA,Silicate (SIO4-SI)
52,Ammonium,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::AMONZZXX,"Concentration of ammonium {NH4+ CAS 14798-03-9} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX,mole_concentration_of_ammonium_in_sea_water,umol l-1,AMON,Ammonium (NH4-N)
5120,Ammonium,nmol/m**3,SDN:P06::MMCM,Millimoles per cubic metre,SDN:P01::AMONZZXX,"Concentration of ammonium {NH4+ CAS 14798-03-9} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX,mole_concentration_of_ammonium_in_sea_water,nmol m-3,AMON,Ammonium (NH4-N)
87101,Ammonium,mmol/l,SDN:P06::MMPL,Millimoles per litre,SDN:P01::AMONZZXX,"Concentration of ammonium {NH4+ CAS 14798-03-9} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX,mole_concentration_of_ammonium_in_sea_water,mmol l-1,AMON,Ammonium (NH4-N)
762,"Alkalinity, total",mmol/l,SDN:P06::MMPL,Millimoles per litre,SDN:P01::ALKYZZXX,Total alkalinity per unit volume of the water body,http://vocab.nerc.ac.uk/collection/P01/current/ALKYZZXX,sea_water_alkalinity_expressed_as_mole_equivalent,mmol l-1,ALKY,Total alkalinity
143493,"Alkalinity, total",µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::ALKYZZXX,Total alkalinity per unit volume of the water body,http://vocab.nerc.ac.uk/collection/P01/current/ALKYZZXX,sea_water_alkalinity_expressed_as_mole_equivalent,umol l-1,ALKY,Total alkalinity
80114,"Alkalinity, total",µmol/kg,SDN:P06::KGUM,Micromoles per kilogram,SDN:P01::MDMAP014,Total alkalinity per unit mass of the water body,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP014,sea_water_alkalinity_per_unit_mass,umol kg-1,ALKW,Total alkalinity
